Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0 -3589.13  0.00 -100000000.00 
   1 -4139.76  0.00 -3589.13 
   2 -4473.49  0.00 -3589.13 
   3 -3522.47  0.00 -3589.13 
   4 -4040.70  0.00 -3522.47 
   5 -3403.92  0.00 -3522.47 
   6 -4014.65  0.00 -3403.92 
   7 -4003.03  0.00 -3403.92 
   8 -4990.51  0.00 -3403.92 
   9 -3808.75  0.00 -3403.92 
  10 -3966.76  0.00 -3403.92 
  11 -4090.93  0.00 -3403.92 
  12 -3531.79  0.00 -3403.92 
  13 -3871.44  0.00 -3403.92 
  14 -4018.27  0.00 -3403.92 
  15 -4444.22  0.00 -3403.92 
  16 -3851.80  0.00 -3403.92 
  17 -3057.73  0.00 -3403.92 
  18 -4487.11  0.00 -3057.73 
  19 -4160.41  0.00 -3057.73 
  20 -3751.12  0.00 -3057.73 
  21 -4032.19  0.00 -3057.73 
  22 -3979.06  0.00 -3057.73 
  23 -3229.76  0.00 -3057.73 
  24 -4057.25  0.00 -3057.73 
  25 -4370.07  0.00 -3057.73 
  26 -3846.71  0.00 -3057.73 
  27 -4759.58  0.00 -3057.73 
  28 -4105.57  0.00 -3057.73 
  29 -4805.31  0.00 -3057.73 
  30 -4453.71  0.00 -3057.73 
  31 -3864.37  0.00 -3057.73 
  32 -4969.89  0.00 -3057.73 
  33 -3020.84  0.00 -3057.73 
  34 -4083.80  0.00 -3020.84 
  35 -4205.06  0.00 -3020.84 
  36 -3981.73  0.00 -3020.84 
  37 -3780.08  0.00 -3020.84 
  38 -4800.29  0.00 -3020.84 
  39 -4197.14  0.00 -3020.84 
  40 -4054.11  0.00 -3020.84 
  41 -4281.56  0.00 -3020.84 
  42 -4285.34  0.00 -3020.84 
  43 -4126.43  0.00 -3020.84 
  44 -3706.92  0.00 -3020.84 
  45 -4131.39  0.00 -3020.84 
  46 -3613.30  0.00 -3020.84 
  47 -4804.22  0.00 -3020.84 
  48 -3692.26  0.00 -3020.84 
  49 -4378.68  0.00 -3020.84 
  50 -4620.16  0.00 -3020.84 
  51 -4205.50  0.00 -3020.84 
  52 -4076.13  0.00 -3020.84 
  53 -3956.02  0.00 -3020.84 
  54 -4117.46  0.00 -3020.84 
  55 -3721.52  0.00 -3020.84 
  56 -4634.91  0.00 -3020.84 
  57 -3626.72  0.00 -3020.84 
  58 -3529.64  0.00 -3020.84 
  59 -3957.01  0.00 -3020.84 
  60 -4036.10  0.00 -3020.84 
  61 -4292.30  0.00 -3020.84 
  62 -4185.96  0.00 -3020.84 
  63 -3739.07  0.00 -3020.84 
  64 -3546.06  0.00 -3020.84 
  65 -4349.74  0.00 -3020.84 
  66 -4266.06  0.00 -3020.84 
  67 -4078.38  0.00 -3020.84 
  68 -3947.79  0.00 -3020.84 
  69 -4030.87  0.00 -3020.84 
  70 -4164.74  0.00 -3020.84 
  71 -3608.28  0.00 -3020.84 
  72 -3744.36  0.00 -3020.84 
  73 -3827.12  0.00 -3020.84 
  74 -3894.79  0.00 -3020.84 
  75 -3941.45  0.00 -3020.84 
  76 -3546.72  0.00 -3020.84 
  77 -3338.65  0.00 -3020.84 
  78 -4182.50  0.00 -3020.84 
  79 -3648.97  0.00 -3020.84 
  80 -3584.79  0.00 -3020.84 
  81 -4272.48  0.00 -3020.84 
  82 -3409.30  0.00 -3020.84 
  83 -3888.17  0.00 -3020.84 
  84 -3901.34  0.00 -3020.84 
  85 -3805.21  0.00 -3020.84 
  86 -3742.13  0.00 -3020.84 
  87 -3414.56  0.00 -3020.84 
  88 -3131.78  0.00 -3020.84 
  89 -3272.38  0.00 -3020.84 
  90 -2888.43  0.00 -3020.84 
  91 -3557.70  0.00 -2888.43 
  92 -4016.53  0.00 -2888.43 
  93 -3753.67  0.00 -2888.43 
  94 -3870.17  0.00 -2888.43 
  95 -3569.17  0.00 -2888.43 
  96 -3374.48  0.00 -2888.43 
  97 -4230.54  0.00 -2888.43 
  98 -3501.81  0.00 -2888.43 
  99 -3319.07  0.00 -2888.43 
 100 -3285.55  0.00 -2888.43 
 101 -3430.10  0.00 -2888.43 
 102 -3484.20  0.00 -2888.43 
 103 -4411.81  0.00 -2888.43 
 104 -3785.96  0.00 -2888.43 
 105 -3418.18  0.00 -2888.43 
 106 -3440.14  0.00 -2888.43 
 107 -3029.83  0.00 -2888.43 
 108 -3326.63  0.00 -2888.43 
 109 -3011.11  0.00 -2888.43 
 110 -3593.69  0.00 -2888.43 
 111 -3671.86  0.00 -2888.43 
 112 -3299.23  0.00 -2888.43 
 113 -3486.54  0.00 -2888.43 
 114 -4383.56  0.00 -2888.43 
 115 -3188.56  0.00 -2888.43 
 116 -2893.72  0.00 -2888.43 
 117 -2436.81  0.00 -2888.43 
 118 -3565.79  0.00 -2436.81 
 119 -3358.10  0.00 -2436.81 
 120 -3744.49  0.00 -2436.81 
 121 -3425.11  0.00 -2436.81 
 122 -3301.02  0.00 -2436.81 
 123 -3313.60  0.00 -2436.81 
 124 -3825.32  0.00 -2436.81 
 125 -3517.74  0.00 -2436.81 
 126 -2790.36  0.00 -2436.81 
 127 -3870.34  0.00 -2436.81 
 128 -3537.09  0.00 -2436.81 
 129 -3649.69  0.00 -2436.81 
 130 -2958.28  0.00 -2436.81 
