Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0 -3589.13  0.00 -100000000.00 
 131 -2787.66  0.00 -2436.81 
 132 -2787.24  0.00 -2436.81 
 133 -3366.70  0.00 -2436.81 
 134 -3855.15  0.00 -2436.81 
 135 -3724.30  0.00 -2436.81 
 136 -2767.61  0.00 -2436.81 
 137 -2912.14  0.00 -2436.81 
 138 -2997.30  0.00 -2436.81 
 139 -3000.19  0.00 -2436.81 
 140 -3386.89  0.00 -2436.81 
 141 -3007.90  0.00 -2436.81 
 142 -3606.10  0.00 -2436.81 
 143 -3002.11  0.00 -2436.81 
 144 -3870.53  0.00 -2436.81 
 145 -3652.27  0.00 -2436.81 
 146 -2911.25  0.00 -2436.81 
 147 -2702.49  0.00 -2436.81 
 148 -2805.77  0.00 -2436.81 
 149 -3521.33  0.00 -2436.81 
 150 -2818.90  0.00 -2436.81 
 151 -3634.88  0.00 -2436.81 
 152 -2733.77  0.00 -2436.81 
 153 -2526.13  0.00 -2436.81 
 154 -3397.94  0.00 -2436.81 
 155 -3112.67  0.00 -2436.81 
 156 -2398.18  0.00 -2436.81 
 157 -2581.17  0.00 -2398.18 
 158 -2356.70  0.00 -2398.18 
 159 -3145.47  0.00 -2356.70 
 160 -2871.18  0.00 -2356.70 
 161 -2733.24  0.00 -2356.70 
 162 -3082.85  0.00 -2356.70 
 163 -2631.77  0.00 -2356.70 
 164 -3182.00  0.00 -2356.70 
 165 -3127.88  0.00 -2356.70 
 166 -1889.24  0.00 -2356.70 
 167 -2915.12  0.00 -1889.24 
 168 -2912.82  0.00 -1889.24 
 169 -2573.79  0.00 -1889.24 
 170 -2743.87  0.00 -1889.24 
 171 -2916.57  0.00 -1889.24 
 172 -3066.98  0.00 -1889.24 
 173 -3218.27  0.00 -1889.24 
 174 -2596.31  0.00 -1889.24 
 175 -2672.35  0.00 -1889.24 
 176 -3336.63  0.00 -1889.24 
 177 -2592.84  0.00 -1889.24 
 178 -2438.71  0.00 -1889.24 
 179 -2416.00  0.00 -1889.24 
 180 -2943.52  0.00 -1889.24 
 181 -3237.87  0.00 -1889.24 
 182 -3647.23  0.00 -1889.24 
 183 -3502.18  0.00 -1889.24 
 184 -3324.29  0.00 -1889.24 
 185 -3611.79  0.00 -1889.24 
 186 -3155.45  0.00 -1889.24 
 187 -3152.88  0.00 -1889.24 
 188 -3504.82  0.00 -1889.24 
 189 -2452.86  0.00 -1889.24 
 190 -3011.48  0.00 -1889.24 
 191 -2962.53  0.00 -1889.24 
 192 -2751.71  0.00 -1889.24 
 193 -2849.15  0.00 -1889.24 
 194 -3274.13  0.00 -1889.24 
 195 -3129.18  0.00 -1889.24 
 196 -3541.08  0.00 -1889.24 
 197 -3265.50  0.00 -1889.24 
 198 -3490.80  0.00 -1889.24 
 199 -2770.08  0.00 -1889.24 
 200 -3017.17  0.00 -1889.24 
 201 -3307.15  0.00 -1889.24 
 202 -3409.54  0.00 -1889.24 
 203 -2538.13  0.00 -1889.24 
 204 -3360.39  0.00 -1889.24 
 205 -3170.33  0.00 -1889.24 
 206 -3273.85  0.00 -1889.24 
 207 -2627.47  0.00 -1889.24 
 208 -2584.85  0.00 -1889.24 
 209 -3406.00  0.00 -1889.24 
 210 -2880.95  0.00 -1889.24 
 211 -3730.24  0.00 -1889.24 
 212 -3336.29  0.00 -1889.24 
 213 -3109.79  0.00 -1889.24 
 214 -2582.80  0.00 -1889.24 
 215 -2106.67  0.00 -1889.24 
 216 -3085.23  0.00 -1889.24 
 217 -3642.36  0.00 -1889.24 
 218 -3271.04  0.00 -1889.24 
 219 -3938.24  0.00 -1889.24 
 220 -3272.73  0.00 -1889.24 
 221 -1910.21  0.00 -1889.24 
 222 -2537.49  0.00 -1889.24 
 223 -2769.59  0.00 -1889.24 
 224 -3007.81  0.00 -1889.24 
 225 -3416.25  0.00 -1889.24 
 226 -3149.07  0.00 -1889.24 
 227 -3202.42  0.00 -1889.24 
 228 -3114.28  0.00 -1889.24 
 229 -2512.13  0.00 -1889.24 
 230 -1636.55  0.00 -1889.24 
 231 -2718.86  0.00 -1636.55 
 232 -3105.87  0.00 -1636.55 
 233 -2026.44  0.00 -1636.55 
 234 -2072.57  0.00 -1636.55 
 235 -3036.19  0.00 -1636.55 
 236 -3258.83  0.00 -1636.55 
 237 -2840.41  0.00 -1636.55 
 238 -1904.23  0.00 -1636.55 
 239 -2482.13  0.00 -1636.55 
 240 -2413.60  0.00 -1636.55 
 241 -2963.15  0.00 -1636.55 
 242 -2283.43  0.00 -1636.55 
 243 -2880.99  0.00 -1636.55 
 244 -1417.79  0.00 -1636.55 
 245 -2772.65  0.00 -1417.79 
 246 -2935.82  0.00 -1417.79 
 247 -3055.42  0.00 -1417.79 
 248 -2298.04  0.00 -1417.79 
 249 -2882.96  0.00 -1417.79 
 250 -2526.15  0.00 -1417.79 
 251 -2878.89  0.00 -1417.79 
 252 -2622.23  0.00 -1417.79 
 253 -2295.22  0.00 -1417.79 
 254 -3067.63  0.00 -1417.79 
 255 -2480.97  0.00 -1417.79 
