Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
 180 -2874.52  0.00 -2453.32 
 181 -2989.30  0.00 -2453.32 
 182 -2749.55  0.00 -2453.32 
 183 -2712.11  0.00 -2453.32 
 184 -3537.88  0.00 -2453.32 
 185 -3783.60  0.00 -2453.32 
 186 -3444.15  0.00 -2453.32 
 187 -3440.89  0.00 -2453.32 
 188 -3634.77  0.00 -2453.32 
 189 -3336.74  0.00 -2453.32 
 190 -3305.12  0.00 -2453.32 
 191 -3211.83  0.00 -2453.32 
 192 -3389.74  0.00 -2453.32 
 193 -3174.57  0.00 -2453.32 
 194 -3688.68  0.00 -2453.32 
 195 -3662.56  0.00 -2453.32 
 196 -2830.25  0.00 -2453.32 
 197 -2752.09  0.00 -2453.32 
 198 -3014.83  0.00 -2453.32 
 199 -2647.05  0.00 -2453.32 
 200 -3427.34  0.00 -2453.32 
 201 -3006.24  0.00 -2453.32 
 202 -3351.64  0.00 -2453.32 
 203 -3504.39  0.00 -2453.32 
 204 -3001.14  0.00 -2453.32 
 205 -2995.28  0.00 -2453.32 
 206 -2872.39  0.00 -2453.32 
 207 -2852.36  0.00 -2453.32 
 208 -2745.76  0.00 -2453.32 
 209 -3412.29  0.00 -2453.32 
 210 -3381.83  0.00 -2453.32 
 211 -2878.37  0.00 -2453.32 
 212 -2637.27  0.00 -2453.32 
 213 -3269.01  0.00 -2453.32 
 214 -2609.03  0.00 -2453.32 
 215 -2657.14  0.00 -2453.32 
 216 -3067.47  0.00 -2453.32 
 217 -3385.92  0.00 -2453.32 
 218 -3515.72  0.00 -2453.32 
 219 -3657.65  0.00 -2453.32 
 220 -2690.21  0.00 -2453.32 
 221 -1490.05  0.00 -2453.32 
 222 -3380.23  0.00 -1490.05 
 223 -3481.20  0.00 -1490.05 
 224 -3663.53  0.00 -1490.05 
 225 -3628.74  0.00 -1490.05 
 226 -3239.82  0.00 -1490.05 
 227 -4205.03  0.00 -1490.05 
 228 -3412.83  0.00 -1490.05 
 229 -3124.42  0.00 -1490.05 
 230 -2067.14  0.00 -1490.05 
 231 -2647.43  0.00 -1490.05 
 232 -3381.25  0.00 -1490.05 
 233 -2875.90  0.00 -1490.05 
 234 -2031.77  0.00 -1490.05 
 235 -3521.46  0.00 -1490.05 
 236 -3272.42  0.00 -1490.05 
 237 -3226.99  0.00 -1490.05 
 238 -2470.51  0.00 -1490.05 
 239 -2717.68  0.00 -1490.05 
 240 -2385.28  0.00 -1490.05 
 241 -2899.69  0.00 -1490.05 
 242 -2730.50  0.00 -1490.05 
 243 -2508.48  0.00 -1490.05 
 244 -1896.83  0.00 -1490.05 
 245 -3172.93  0.00 -1490.05 
 246 -3320.51  0.00 -1490.05 
 247 -2765.41  0.00 -1490.05 
 248 -3452.36  0.00 -1490.05 
 249 -3216.97  0.00 -1490.05 
 250 -3356.77  0.00 -1490.05 
 251 -2965.92  0.00 -1490.05 
 252 -2750.29  0.00 -1490.05 
 253 -3002.90  0.00 -1490.05 
 254 -2714.10  0.00 -1490.05 
 255 -2656.57  0.00 -1490.05 
 256 -2879.86  0.00 -1490.05 
 257 -3026.58  0.00 -1490.05 
 258 -2905.64  0.00 -1490.05 
 259 -2621.29  0.00 -1490.05 
 260 -2504.42  0.00 -1490.05 
 261 -2309.79  0.00 -1490.05 
 262 -1972.18  0.00 -1490.05 
 263 -2185.48  0.00 -1490.05 
 264 -2483.10  0.00 -1490.05 
